cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,eTotm,eTotp,eStatm,eStatp,eSystm,eSystp,theoryCrossSection,eTheorym,eTheoryp,flag
SMP-20-016,2106.11082,PRD 104 072001 (2021),137,VBS,126,EW qqZ$\gamma$,13 TeV,,5.21,0.764199,0.764199,0.52,0.52,0.56,0.56,4.34,0.266833,0.266833,1
SMP-19-012,2005.01173,PLB 809 (2020) 135710,137,VBS,127,EW qqWZ,13 TeV,,1.81,0.41,0.41,0.39,0.39,0.14,0.14,1.24,0.18,0.18,1
SMP-20-001,2008.07013,PLB 812 (2020) 135992,137,VBS,128,EW qqZZ,13 TeV,,0.33,0.104403,0.117047,0.1,0.11,0.03,0.04,0.278,0.017,0.017,1
TOP-13-004,1603.02303,JHEP 08 (2016) 029,5,TOP,129,tt,7 TeV,,173600,6232.98,6253,2100,2100,5868.56,5889.82,177300,10816.7,10153.3,1
TOP-13-004,1603.02303,JHEP 08 (2016) 029,19.7,TOP,130,tt,8 TeV,,244900,8553.95,9089,1400,1400,8438.6,8980.53,252900,14520.7,13336,1
TOP-20-001,2108.02803,Accepted by PRD,137,TOP,131,tt,13 TeV,,791000,25218.3,25245.7,560,560,25212.1,25239.5,832000,46000,40000,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,134,tt0j,13 TeV,,97000,7280.11,7280.11,2000,2000,7000,7000,100000,9000,9000,3
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,135,ttj,13 TeV,,77000,11180.3,11180.3,2000,2000,11000,11000,72960,8630,8630,3
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,138,tt2j,13 TeV,,36000,6082.76,6082.76,1000,1000,6000,6000,36930,4900,4900,3
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,141,tt3j,13 TeV,,12700,3157.53,3157.53,600,600,3100,3100,15170,2490,2490,3
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,142,tt4j,13 TeV,,5900,2109.5,2109.5,200,200,2100,2100,8060,1970,1970,3
TOP-20-003,2012.09225,PLB 820 (2021) 136565,41.5,TOP,143,tt2c,13 TeV,,8000,1702.94,1702.94,1100,1100,1300,1300,8900,1500,1500,2
TOP-20-003,2012.09225,PLB 820 (2021) 136565,35.9,TOP,144,tt2b,13 TeV,,4090,646.607,646.607,340,340,550,550,3390,660,660,2
TOP-11-021,1209.4533,JHEP 12 (2012) 035,1.6,TOP,145,t$_{t-ch}$,7 TeV,,67200,6100,6100,3700,3700,4847.68,4847.68,65900,1900,2400,1
TOP-12-038,1403.7366,JHEP 06 (2014) 090,5,TOP,146,t$_{t-ch}$,8 TeV,,83600,7749.19,7749.19,2300,2300,7400,7400,87200,2416.61,3440.93,1
TOP-16-003,1610.00678,PLB 72 (2017) 752,2.3,TOP,147,t$_{t-ch}$,13 TeV,,232000,32015.6,32034.4,13000,13000,29257.5,29278,217000,7720.1,9055.39,1
TOP-11-022,1209.3489,PRL 110 (2013) 022003,4.9,TOP,148,tW,7 TeV,,16000,4000,5000,4000,5000,0,0,15600,1264.91,1077.03,1
TOP-12-040,1401.2942,PRL 112 (2014) 231802,19.7,TOP,149,tW,8 TeV,,23400,5400,5400,5400,5400,0,0,22200,1500,1500,1
TOP-17-018,1805.07399,JHEP 10 (2018) 117,35.9,TOP,150,tW,13 TeV,,63100,6972.09,6972.09,1800,1800,6735.73,6735.73,71700,3847.08,3847.08,1
TOP-13-009,1603.02555,JHEP 09 (2016) 027,19.7,TOP,152,t$_{s-ch}$,8 TeV,,13400,5161.88,5161.88,3650,3650,3650,3650,5550,224.722,224.722,1
TOP-14-008,1706.08128,JHEP 10 (2017) 006,19.7,TOP,153,tt$\gamma$,8 TeV,,3527.4,739.726,739.726,739.726,739.726,0,0,4054.79,527.931,527.931,1
