label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
WZ2jet8,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$\:\!$2j,8,,7670.44,2699.67,2699.67,2508.34,2508.34,998.214,998.214,3378.29,36.3528,36.3528
ZZ5,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,ZZ,5.02,,5.3e+06,2.34361e+06,2.34361e+06,2.1e+06,2.5e+06,400000,500000,3.481e+06,83000,97000
ZZ,SMP-12-007,1211.4890,JHEP 01 (2013) 063,4.9,DB,ZZ,7,,6.24e+06,962945,962945,860000,860000,433200,433200,6.26e+06,190000,240000
ZZ8,SMP-13-005,1406.0113,PLB 740 (2015) 250,19.6,DB,ZZ,8,,7.7e+06,807752,807752,500000,500000,634400,634400,7.57e+06,250000,320000
ZZ13,SMP-19-001,2009.01186,EPJC 81 (2021) 200,137,DB,ZZ,13,,1.72e+07,768115,768115,300000,300000,707107,707107,1.65e+07,500000,600000
ZZ0jet8,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$ \! = $0j,8,,16300,1582.05,1582.05,1200,1200,984.886,1077.03,13200,700,900
ZZ0jet13,SMP-22-001,2404.02711,Submitted to JHEP,138,DB,ZZ$ \! = $0j,13,,26858.8,1367.44,1367.44,1284.12,1450.77,0,0,26760.7,392.099,392.099
ZZ1jet8,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$\:$j,8,,3200,678.233,678.233,600,600,316.228,316.228,4000,300,500
ZZ1jet13,SMP-22-001,2404.02711,Submitted to JHEP,138,DB,ZZ$\:$j,13,,7263.63,735.185,735.185,764.593,705.778,0,0,8743.8,196.049,196.049
ZZ2jet8,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$\:$2j,8,,800,316.228,316.228,300,300,100,100,1200,100,200
ZZ2jet13,SMP-22-001,2404.02711,Submitted to JHEP,138,DB,ZZ$\:$2j,13,,3391.65,401.901,372.494,401.901,372.494,0,0,2950.54,98.0247,98.0247
ZZ3jet8,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$ \geq \!$3j,8,,140,100.499,100.499,100,100,10,10,300,100,100
ZZ3jet13,SMP-22-001,2404.02711,Submitted to JHEP,138,DB,ZZ$\geq \!$3j,13,,1950.69,372.494,372.494,372.494,372.494,0,0,1293.93,68.6173,68.6173
VBFW8,SMP-13-012,1607.06975,JHEP 11 (2016) 147,19.3,VBS,qqW,8,,420000,98994.9,98994.9,40000,40000,90553.8,90553.8,500000,28284.3,28284.3
VBFW13,SMP-17-011,1903.04040,EPJC 80 (2020) 43,35.9,VBS,qqW,13,,6.23e+06,621691,621691,120000,120000,610000,610000,6.81e+06,266833,261725
VBFZ,FSQ-12-019,1305.7389,JHEP 10 (2013) 101,5.0,VBS,qqZ,7,,154000,58566.2,58566.2,24000,24000,53422.8,53422.8,166000,6000,6000
